Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
,"SUPERVICIONES EN TODAS LAS ÁREAS EN TIEMPO REAL
FOMENTAR EN TODOS LOS NIVELES SOCIALES VALORES
AMAR A LA PATRIA
ENCONTRAR LAS LEYES JUSTAS","REFORMA DEL PODER JUDICIAL
ATENCIÓN Y PARTICIPACIÓN DE LAS MUJERES EN ESPACIOS QUE AFECTAN LAS VIOLENCIAS",LA NO INTERVENCIÓN NO SE CUMPLIÓ EN EL CASO DE PERÚ,CDMX,6
,"CONTINUAR CON LAS CONSULTAS, JUSTOS PODEMOS",ATENDER LAS CAUSAS CON VÍCTIMAS Y ATENCIÓN INTEGRAL A SUS JUVENTUDES,"SE DEBE REVISAR LA POLÍTICA MIGRATORIA.
DEUDA EXTERNA",CDMX,6
,SE PROFUNDICE EN LAS ESCUELAS CON LA ÉTICA Y EDICACIÓN CÍVICA,SEGUIR PROFUNDIZANDO EN LOS TEMAS MÁS INTENSAMENTE,,CDMX,6
,COMBATE A TODOS LOS NIVELES PRIVADOS Y DE GOBIERNO EN CORRUPTELAS,"NO SOLO LAS FUERZAS ARMADAS, SINO DESDE ALTOS FUNCIONARIOS",,CDMX,6
,QUE LOS REPRESENTANTES QUE OCUPEN CARGOS PÚBLICOS SURGIDOS DE MORENA SEAN DE LAS BASES Y NO SEAN CHAPULINES DE OTROS PARTIDOS,NUEVAS REFORMAS QUE VENEFICIE AL PAÍS COMO A LOS CIUDADANOS,,CDMX,6
,"MEJORRAR EL SISTEMA DE SALUD, NO HAY SUFICIENTES DOCTORES",QUE NO LE DEN PODER A LAS PERSONAS QUE TRABAJA CON LOS POLÍTICOS,,CDMX,6
,REVISIÓN DE CONTRATOS E INHABILITACIÓN DE EMPRESAS CON BENEFICIO A FUNCIONARIOS,"REFORMA FROFUNDA DE LA EDUCACIÓN, PRINCIPALMENTE LA PRIMERA EDUCACIÓN Y DE LOS PADRES",,CDMX,6
,TRTAR DE QUITAR GENTE QUE NO SIRVA PARA EL PARTIDO,FORTALECER EL ESTADO DE DERECHO,,CDMX,6
,QUE LAS AUTORIDADES SIEMPRE SE ACERQUEN A LA COMUNIDAD PARA CONCIENTIZAR A MEJORAR LAS COLONIAS,HACER QUE LAS PROPUESTAS SE CUMPLAN O PUEDA HABER INTERVECION DE USA,,CDMX,6
,LA CORRUPCIÓN DEL GOBIERNO PÚBLICO A LAS ORGANIZACIONES CRIMINALES,CREAR REDES DE SEGURIDAD CIUDADANA POR COLONIA A TRAVÉS DE VISITAS DOMICILIARIA EN LOS PUNTOS DE MAYOR INCIDENCIA DELICTIVA,,CDMX,6
