Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
,BAJAR SUELDOS A TODO GOBIERNO Y NO DAR ACCESO FÁCIL A PRESUPUESTOS GRANDES A FUNCIONARIOS ALTOS,REFORMAR EL PODER JUDICIAL DESDE MINISTERIOS PÚBLICOS,,CDMX,6
,"LA AUSTERIDAD NO SE DEBE APLICAR A LOS TRABAJADORES, DEBE APLICARSE A LOS SALARIOS Y PRESTACIONES A LOS GRANDES FUNCIONARIOS","DROGADICCIÓN, ASALTOS, ABUSO A MENORES, CORRUPCIÓN, QUEREMOS MÁS SEGURIDAD Y MÁS VIGILANCIA",,CDMX,6
,NO TOMAR EN CUENTA A LOS PUEBLOS ORIGINARIOS ES CORRUPCIÓN,"QUE NO SEAN CONCHUDOS, MAJADEROS Y NO HACEN NADA",,CDMX,6
,SE TIENE QUE RESPETAR LA DIVISIÓN DE PODERES EL PRESIDENTE NO DEBE INTERVENIR EN LA SCJN,RESPETAR LOS DERECHOS HUMANOS Y TENER POLICIA MÁS CALIFICADA,,CDMX,6
,ELIMINAR PARA EL PUEBLO A LOS MAGISTRADOS,"MEJOR RESPUESTA ANTE EVENTOS VIOLENTOS CONTRA NIÑOS, MUJERES Y ADULTOS MAYORES",,CDMX,6
,QUE FUNCIONARIOS PÚBLICOS QUE SEAN CONRRUPTOSVETARLOS DE POR VIDA PARA TRABAJAR EN LA FUNCIÓN PÚBLICA,MÁS INFORMACIÓN A LA JUVENTUD,,CDMX,6
,,ERRADICAR LA CORRUPCIÓN QUE EXISTE EN LA POLICÍA QUE NO GOCEN DE IMPUNIDAD,,CDMX,6
,,"REFORMAR EL PODER JUDICIAL
REGULARIZACIÓN LEGAL DE LA DROGA",,CDMX,6
,,"ACERCAMIENTO DE NUESTRAS AUTORIDADES A LAS COLONIAS, CONOZCAN A LA COMUNIDAD Y NECESIDADES",,CDMX,6
,,QUE NO HAYA CORRUPCIÓN CON POLICIAS Y REALMENTE REALICEN SU TRABAJO,,CDMX,6
,,FISCALIZAR Y AUDITAR A LAS INSTITUCIONES Y LOS PARTIDOS Y SUS ESTRUCTURAS TERRITORIALES,,CDMX,6
,,VALORES,,CDMX,6
,,"MEJORAR EL SISTEMA DE SALUD PÚBLICA, NO HAY SUFICIENTES DOCTORES",,CDMX,6
,,"CULTURA
DEPORTE
REFORMAR EL PODER JUDICIAL
COMBATIR EL NARCO
SEGUIR CON LOS PROGRAMAS SOCIALES
VALORES EN LA UNIDAD FAMILIAR",,CDMX,6
,,ESCOGER MEJOR LAS COMISIONES Y NO ANDAR DE UN PARTIDO A OTRO,,CDMX,6
Profundo plan anticorrupción,Asambleas públicas de seguridad  ,Programa amplio de desarme,Autorizar el paso de migrantes,CDMX,7
Fortalecer las consultas personales,Participación de autoridades en encuentros públicos para dar seguimiento al tema de la seguridad,"Mejorar espacios públicos de recreación, para una mayor interacción social a través de la cultura, el deporte y el esparcimiento",Apoyos a mexicanes de la 3ra edad residentes en el extranjero,CDMX,7
Campañas de difusión de los derechos y obligaciones de las y los ciudadanos,Contralorías anuales a los alcaldes,Mayores fuentes de trabajo con ingreso digno,,CDMX,7
Austeridad para altos funcionarios de la SCJN,,Mayor seguimiento a los exámenes de confianza a los policías y a las autoridades,,CDMX,7
Que se limpie todo el tribunal lleno de jueces corruptos,Limpieza en la seguridad,todos y todas las personas que infrinjan en algún delito las investiguen a fondo y que no haya favoritismo que la ley se imponga ,intercambios culturales,CDMX,8
"seguir con el plan de recolecta de basura, así no se proliferan insectos y roedores",que todos los alacaldes rindan cuentas efectivas ,comedores comunitarios e incorporación de jóvenes a la CNPC,apoyar a los connacionales en otros países,CDMX,8
pedimos que haya más seguridad en las calles ,que se aplique la ley general para que se sigan recuperandp lo nque se ha saqueado de nuestro México,apoyar más a las mujeres y los jóvenes,hacer un plan intencional para una próxima pandemia estar preparados ,CDMX,8
más centros culturales de recreación,que haya seguridad en nuestras colonias,crear fuentes de trabajo bien remuneradas y proteger los pequeños comercios de los delincentes,la educación política,CDMX,8
tratar de recuperar los bienes de México y no permitir más saqueos,cosntralorias sociales con afcultad de solicitar revocación ,que los jueces hagan su trabajo y no sean corruptos,sigan defendiendo nuestros recursos y que sean de los Méxicanos,CDMX,8
urge una nueva constitución,atender el problema migratorio como problema humano,apoyar más a los jovenes y jefas de familia y abuelitas que cuidan a sus nietos,Fortalecer nuestra soberania Nacional,CDMX,8
seguir haciendo votos por la necesidad de la población minoritaria,que se siga recuperando lo robado,"que les apoyen más a los jóvenes, que sean escuchados y que haya más apoyo para las jefeas de familia y a las abuelitas",seguir con la 4T,CDMX,8
"se requiere urgentemente una reforma al poder judicial, al INE y que permanezca la gusrdia nacional coadyuvando",que en realidad se combata y quer no haya impunidad pero ya con hechos,"dar mayor atención a los cuerpos de policía, mejores sueldos.",seguir con la propuesta de la 4T,CDMX,8
personas capaces de liderear y no gente con ambición economica y de poder,"seguir con la ley de recuperar lo robado para el país, para resgresarlo al país ",regresar a la policía federal,que los diputados no se pasen más de 4 años y que su sueldo paguen sus gastos,CDMX,8
la política que no sea más corrupta y más vigilacia ,que siga Morena  y la 4 T,Recoger la basura en la calle porque a la hora que llueve se tapan las coladeras,más eventos culturales,CDMX,8
que los jueces y servidores públicos que tengan cargos y no se den resultados sean destituidos de sus cargos y sansionados ,impulsar la industrialización en México,es necesaria la reforma judicial,"no a la competencia, si a la integración para el desarrollo de los pueblos",CDMX,8
que los programas sociales se otorguen a quien realmente los necesite ,"impulsar la ediación que imparte el estado, la ética y la filosofía, para transmitir valores humanos  ","reformar los reclusorios, que ya no haya extorsión, que los internos tengan los mismos derechos, que sean atendidos y escuchados",comida gratis,CDMX,8
que los ministros de la SCJ ingresen a los reclusorios para conocer los malos juicios que tuvieron cuando fueron procesados,quitar todo tipo de fueros a los servidores y servidoras públicos,"entrar a los predios, ya que estan invadiendo las áreas verdes para talleres de herrerías hay mucha inseguridad",seguir con la 4T,CDMX,8
"la policia que sean correctos, menos rateros, más vigilancia ",Mayor vigilancia en lo que se gasta: cómo y porqué?,sentencias más severas,que se cumplan,CDMX,8
que haya inspeción total de servidores públicos y además se les caoacite y tengan preparación académica,Industrializar México.,Sensibilizar a los M.P y policias,que el presidente no se meta con otros paises,CDMX,8
bajar los salarios de arriba y subir los salarios de abajo (disminuir desigualdad salarial),que el gobierno se aplique y que vea el mode de  ya no pactar más con el narco.,dar a conocer el trabajo de la fuerza armada a los niños pequeños,,CDMX,8
"control de los precios frutas, verdura, carne, pescado y pollo ",supervisión en todos los rúbros,hacer un pacto ciudadano ,,CDMX,8
que ministros de la suprema corte de jueses en general puedan ser procesados por corrupción y malas prácticas,"aplicar la ley al control inmobiliario, ""justicia""",rescatar a las personas en situación de calle,,CDMX,8
supervisión al poder judicil permanenete ,aplicar sanciones ejemplares parar los que cometen fraudes al presupuesto.,"no permir acceso a caravanas migrantes, más radicales con la seguridad",,CDMX,8
que se de prioridad atención a los niños y animales de a calle en sí a todos los seres vivos y a la naturaleza  ,"todo lo que plantea Morena estoy de acuerdo, Fuera esos corruptos.","formación ciudadana, derechos y obligaciones ",,CDMX,8
yo estoy de acuerdo que esos rateros corruptos  sean elejidos por el pueblo,,todo lo que plantea morena estoy de acuardo,,CDMX,8
que los señores de la suprema corte de justicia sean justos y no corruptos,,utilizar la tecnologia para vigilar y cuidar al pueblo,,CDMX,8
que siga no robar. Leyes que sean buenas ,,implementar  medidas para rescatar a la población de calle,,CDMX,8
el poder judicial hacer su trabajo dejando y no someter al presidente ,,"desarmar a loss carteles, control en las aduanas ",,CDMX,8
,,reforzar la Guardia Nacional,,CDMX,8
,,que el M.P levante actas por violencia familiar por que no quieren hacerlo,,CDMX,8
,,separar al Ejercito de la Guardia Nacional,,CDMX,8
Construir nuestro proyecto de nación mediante la mediación de los 3 órdenes de gobierno.,Fomentar la rendición de cuentas y apoyo a los órganos de transparencia y rendición de cuentas.,,,CDMX,9
Reforma para la ley del ISSSTE.,Que las concesiones y contratos sean transmitidas o publicadas para transparentar recursos.,,,CDMX,9
Reforma de organismos autónomos.,Ya no permitir sobornos y que los intereses de unos cuantos desaparezcan y todo se regrese al pueblo.,,,CDMX,9
 Justicia social.,Que los representantes populares sean elegidos por honradez y capacidad no por acarreo.,,,CDMX,9
Que los magistrados cambien sus criterios y sean más justos en la resolución de juicios.,Que la contraloría entre a cada sector público y también que cambien y se revisen los presupuestos que se llevan a cabo.,,,CDMX,9
Rendición de cuentas de los órganos públicos y transparencia. Apoyo al INAE.,Realizar acciones contundentes en contra de quien dañe el erario público de nuestro país así como aplicar penas contra ellos.,,,CDMX,9
Que se permita y procure que el pueblo opine y participe.,Que cualquier persona que se vea involucrada en cualquier acto de corrupción sea destituida. ,,,CDMX,9
Servidores públicos preparados realmente para solucionar problemas.,"Que se lleven a cabo todos los mandatos de acción con el pueblo y que los funcionarios se dediquen a servir, no a abusar.",,,CDMX,9
Mayor seguimiento a las situaciones del estado.,Fomentar la participación ciudadana. ,,,CDMX,9
Atender los temas más locales para barrer de abajo para arriba.,Formación ética y política para erradicar la corrupción.,,,CDMX,9
Garantizar que sí se apliquen las sanciones y el sistema educativo.,Primero que nada educar en valores.,,,CDMX,9
Reformar las comunicaciones. Recuperar los ferrocarriles y quitar las concesiones de carreteras telefonía y ferrocarriles. Que se reforme la justicia así como nuestros representantes democratización y castigo a la corrupción.,"Implementar salarios dignos a los servidores públicos, que se hagan transparentes los recursos económicos que se dan a los órganos de gobierno.",,,CDMX,9
Que no sean corruptos los ministros.,Poner gente que tenga realmente una preparación académica en los puestos.,,,CDMX,9
Que la administración de justicia sea para el pueblo de México en general y no para unos cuantos.,Capacitación y concientización constante a los servidores públicos a través de cursos y talleres para abatir la corrupción.,,,CDMX,9
La burocracia debe servir para la atención del pueblo.,"Aplicar los principios de no mentir, no robar y no traicionar.",,,CDMX,9
Concientizar a la ciudadanía sobre la importancia de buscar reformas que nos permitan mejorar la calidad de vida.,Es corrupción la existencia de gigantescas brechas de ingresos familiares igualdad de ingresos.,,,CDMX,9
Que se acabe con la corrupción en el poder de la suprema corte de justicia., Para acabar con la corrupción es necesario reformar y redactar nuevos artículos de la constitución para poder detener corrupción y nepotismo en todos los niveles.,,,CDMX,9
Que se reforme la constitución para que los ministros de la suprema corte de justicia sean electos por el pueblo. ,Supervisar a los funcionarios de todos los niveles y principalmente a los mandos medios y bajos.,,,CDMX,9
Que la burocracia recorra las calles como parte de su trabajo sin importar jerarquía. ,Transparencia en todos los contratos.,,,CDMX,9
Que se continúe recabando la opinión del pueblo de México a través de consultas ciudadanas. ,,,,CDMX,9
Hacer reformas para beneficio del pueblo y aplicarlas sin contemplaciones. ,,,,CDMX,9
Reformar al ine y al poder judicial de la nación.,,,,CDMX,9
 Que todos los servidores públicos hagan la encomienda que se les asignó.,,,,CDMX,9
Apoyo a las personas que han trabajado y están por pensionarse o jubilarse.,,,,CDMX,9
Reformar y transformar organismos y miembros de la suprema corte de justicia así como sindicatos.,,,,CDMX,9
Atender y priorizar todas las violaciones a los derechos humanos en la población.,,,,CDMX,9
"ELECCIÓN DIRECTA DE DIPUTADOS Y SENADORES, O SE VOTAN TODOS O SE ELIMINAN LOS PLURIS ",HACER UNA CAMPAÑA CON LA JUVENTUD PARA QUE EL CONSUMO DEJE DE SER TAN GRANDE ,LA DISOLUCIÓN DEL APARATO DE PODER JUDICIAL DE FORMA CONTUNDENTE. LA MOVILIZACIÓN CIUDADANA ES EL UNICO CAMINO PARA SUMAR ,ARREGLAR TODOS LOS EDIFICIOS ABANDONADOS,CDMX,10
BAJAR EL SUELDO A TODOS LOS LEGISLADORES ASÍ COMO COMISIONES Y EQUIPOS ,IMPLEMENTAR INFORMES DE FUNCIONARIOS CON RESULTADOS MEDIBLES,QUE TODO EL PRESIDENTE APOYE AL PRESIDENTE ,EL RESPETO AL DERECHO AJENO ES LA PAZ ,CDMX,10
QUE APOYEN CON MAS VIGILECIA A LOS ADULTOS MAYORES ,DESAPARECER LA ASF Y FORTALECER LA SECRETARÍA DE LA FUNCIÓN PÚBLICA ,DAR MAYOR CAPACITACIÓN Y ESTUDIOS MÍNIMO DE LICENCIATURA A POLICIAS Y AUTORIDADES QUE NOS CUIDAN A PROTEGER ANTE LA DELINCUENCIA ,JUSTICIA EN TODAS PARTES INICIANDO EN LA FAMILIA ,CDMX,10
DISMINUIR EL SUELDO A JUECES ," CUALQUIER FUNCIONARIO PÚBLICO CORRUDTO SERÁ SANCIONADO DE INMEDIATO, NO TENER DERECHO A AMPARO Y ELIMINAR SU FUERO POLÍTICO DE INMEDIATO",MÓDULOS CON PATRULLAS Y BARRIOS PÚBLICOS ,LOS AVANCES TECNOLÓGICOS Y CIENTÍFICOS COLOCARÍAN A MÉXICO EN UNA MEJOR ECONOMÍA ,CDMX,10
MICHELADAS NO DEBEN PERMITIRSE ,ACABAR CON LA DELINCUENCIA ORGANIZADA. PENA DE MUERTE PARA TODOS LOS DELINCUENTES.,QUE SIGA LA GUARDIA NACIONAL HACIENDO TRABAJO DE SEGURIDAD ,"NO MAS PÉRDIDA DE TERRITORIO MEXICANO, SI A LA RECUPERACIÓN DE INDUSTRIAS DE MANOS EXTRANJERAS ",CDMX,10
FUERA FUNCIONARIOS CORRUPTOS,CUIDAR Y PROPONER LEYES PARA LA CORRUPCIÓN Y SU CASTIGO.,QUE SIGA VIGENTE LA GUARDIA NACIONAL PARA BIEN DEL PUEBLO,LOS INTERÉSES DE LOS MINUSVALIDOS DE LA REPUBLICA ,CDMX,10
"QUE SE APLIQUE LA REVOCACIÓN DE MANDATO EN LOS TRES NIVELES DE GONIERNO, QUE DESAPAREZCAN LOS PLURINOMINALES ",QUE EXISTA UN CATÁLOGO DE FUNCIONARIOS CORRUPTOS. ,ATENCIÓN ESPECIAL A VÍCTIMAS DE VIOLENCIA DOMÉSTICA ,DEFENDER A MÉXICO Y NO COMPLACER A OTROS PAÍSES ,CDMX,10
"EL SERVICIO JUDICIAL AL SERVICIO DEL PUEBLO, REVOCAIÓN DE MANDATO PARA TODOS ",SEGUIR CON LOS IDEALES DE EL PRESIDENTE Y QUITAR A LOS PLURINOMINALES. ,QUE SE PASE A RETIRO A LOS MINISTROS DE LA SCIN,"SEMBRANDO VIDA, NO MUERTE ",CDMX,10
APOYO A LA INVESTIGACIÓN TECNOLÓGICA Y A LOS ESTUDIANTES Y MAESTROS DE COMUNIDADES ,FUERA GENTE CORRUPTA DE MORENA ,"QUE QUITEN LAS MICHELADAS, LAS MAMÁS TIENEN A LOS NIÑOS CON ELLAS Y ELLAS ESTAN TOMANDO ",SEPARACIÓN DE LA OEA ,CDMX,10
DEBE DE IR ACOMPAÑADA CON EJERCICIOS DEMOCRÁTICOS COMO ESTE. SE DEBE SOCIALIZAR ESTOS CONCEPTOS. ,"ELIMINAR EL AMIGUISMO, COMPADRAZGO. DEDAZO. SANEAR LAS INSTITUCIONES PÚBLICAS. CESE DEFINITIVO PARA QUE NINGÚN FUNCIONARIO CORRUPTO OSTENTE UN CARGO PÚBLICO. ",TIENE QUE DARSE LA MOVILIZACIÓN CIUDADANA PARA HACER LOS CAMBIOS REQUERIDOS EN EL PODER JUDICIAL ,APOYO EN LA TRANSICIÓN ENERGÉTICA Y SEGURIDAD ENERGÉTICA ,CDMX,10
QUE TODOS LOS ORGANISMOS DEN INFORMACIÓN DE PROGRAMAS QUE MANEJAN RECURSOS PÚBLICOS ,SNCIONAR A FUNCIONARIOS CORRUPTOS DE MORENA ,QUE A LOS RATEROS LES DEN JUSTICIA,"FRENAR LA MIGRACIÓN ""LA NECESIDAD HACE AL LADRÓN""",CDMX,10
"CONCRETAR LOS VALORES DE RESPETO Y HONRADEZ, NO ROBAR NO MENTIR ",ES SINÓNIMO DE CORRUPCIÓN EL FRAUDE DE COBRAR SIN HACER LO FIRMADO. TAMBIÉN ACCEDER A BECAS DE GRADO DE ESTUDIO EN TIEMPO LABORAL. ,"ELIMINAR MALOS ELEMENTOS DE SEGURIDAD (DEPURACIÓN), PROFESIONALIZACIÓN Y CAPACITACIÓN DE LOS ELEMENTOS DE SEGURIDAD; PROMOVER UNA JUSTICIA CERCANA Y EFICIENTE A LA COMUNIDAD ",NO AL PAGO DE LA DEUDA EXTERNA Y RENUNCIAR A LOS TRATADOS DE COMERCIO EXTERNO ,CDMX,10
PONER VIGILANCIA EN LOS CRUCES ENTRE TACUBA Y MAESTRO RURAL ,COMBATIR LA CORRUPCIÓN A TRAVÉS DE ACCESO A LA INFORMACIÓN CON EL INAI,RENOVACIÓN TOTAL DEL PODER JUDICIAL MEDIANTE VOTO POPULAR Y QUE HAYA REVOCACIÓN DE MANDATO,GENTE CAPACITADA EN SERVISIOS EXTERIORES ,CDMX,10
"NO REELECCIÓN, AVISAR COMO PAGAN AYUDA A LOS DISCAPACITADOS ",QUE SE PUEDA DENUNCIAR DE MANERA MÁS SENCILLA ,REVISAR Y SUPERVISAR A MINISTERIOS PÚBLICOS Y JUECES EVITANDO CORRUPCIÓN ,INICIAR LA PREPARACIÓN DE LA RECUPERACIÓN DE NUESTRO TERRITORIO ROBADO POR USA PARA LOGRARLO TARDE O TEMPRANO,CDMX,10
QUE LOS MINISTERIOS PÚBLICOS SEAN ESCOGIDOS POR UN PERFIL QUE CUMPLA CON LA HONRADEZ Y DECENCIA ,ACABAR CON EL GOBIERNO CORRUPTO ,EVALUACIÓN A MAESTROS Y DOCENTES PARA EVITAR EL ABUSO SEXUAL ,DEJAR DE DEPENDER DE TECNOLOGÍA EXTRANJERA ,CDMX,10
DEJEN DE SECUESTRAR AL PARTIDO ,HACER PÚBLICAS SUS DECLARACIONES FISCALES ,"SACAR A LA GENTE QUE HAGO DAÑO DE LOS ESPACIOS PÚBLICOS, QUE NO SEAN FUNCIONARIOS ",APOYO AL TALENTO MEXICANO PARA QUE NO SE VAYAN DEL PAÍS ,CDMX,10
QUE ESTÉN CONSCIENTES DE SU PUESTO QUE DEBEN SERVIR A LA SOCIEDAD ,QUE SE CREEN COMISIONES CIUDADANAS CON LA FINALIDAD DE TRANSPARENCIA ABSOLUTA ,QUE LA LEY CUIDE A TODA LA CIUDADANÍA ,SEGUIR DEFENDIENDO LA IGUALDAD DE LOS PUEBLOS,CDMX,10
REGULAR REFORMA A MEDIOS DE COMUNICACIÓN TANTO LOCALES COMO FEDERALES ,ANTES DE PROPONER A ALGUIEN QUE SE LES HAGA UNA INSPECCIÓN SOBRE SUS BIENES,"EL GOBIERNO CORRRUPTO ES EL PROBLEMA, NO ES MORENA, SON LAS PERSONAS QUE NO LO HACEN BIEN ",EL CUMPLIMIENTO CABAL DE TODO TRATADO INTERNACIONAL FIRMADO INTEGRADO EN EL PND Y PLANES ESTATALES CON ASIGNACIÓN SUFICIENTE DE RECURSOS HUMANOS Y PRESUPUESTO ,CDMX,10
PROGRAMAS SOCIALES PARA QUIENES QUIEREN ABRIR NEGOCIOS EN SUS CASAS ,"DEJAR DE LADO TANTA BUROCRACIA PARA REALIZAR MEJORAS EN NUESTRAS VIDAS, PORQUE EN EL INTERIOR SE DA LA CORRUPCIÓN ",CONOCER Y DAR A CONOCER LAS LEYES ,LAS ESCUELAS DAR CLASES EN INGLES ,CDMX,10
ACTUALIZACIÓN DE CONOCIMIENTOS A LOS MINISTROSYA QUE HAY MINISTROS QUE SÓLO ESTÁN POR PALANCAS Y NO PORQUE TENGAN EL CONOCIMIENTO PARA DESEMPEÑAR SU FINCIÓN ,LEYES MAS FUERTES CONTRA LAS VIOLENCIAS EN EL EMBARAZO ,PROFECIONALIZAR Y MODERNIZAR LOS MINISTERIOS PÚBLICOS ,QUE LAS EMBAJADAS Y CONSULADOS CUMPLAN FEHACIENTEMENTE ,CDMX,10
QUE NO TIREN ARBOLES PARA NO SUFRIR SEQUÍAS,REFORMA AL PODER JUDICIAL,FOMENTAR LA DENUNCIA PARA HACER TRABAJAR AL PODER JUDICIAL ,ASEGURAR QUE LOS TALENTOS MEXICANOS NO EMIGREN POR FALTA DE OPORTUNIDADES Y RECURSOS ,CDMX,10
"CREAR UN MECANISMO PARA EVALUAR Y EN SU CASO, PROMOCIONAR A LA CIUDADANÍA QUE SE LA PROPONE",NACIONALIZACIÓN DE LA BANCA ,CAMBIAR A LOS INTEGRANTES DE LA SCJ,INTERCAMBIOS ACADÉMICOS CON PAÍSES DEL SUR ,CDMX,10
